HOST: g3017
CP_FILE_NAME: small
HOST: g3017
CUDA_VISIBLE_DEVICES: 
GPU_NUM: 8
PROC_NUM: 8
NNODES: 1
NTASK_PER_NODE: 8
COMM_MODULE: raw-nccl
+ srun -p rag -N 1 --ntasks-per-node 8 --gres=gpu:8 --mem 256G -K -w g3017 -c 16 ./scripts/executor.sh python conflict_bench.py --backend NCCL --config ./scripts/configs/small_8.json --comm-module raw-nccl
NCCL version 2.18.6+cuda11.8
[INFO]: Cluster init done !!!
[[0, 1]]
NCCL version 2.21.5+cuda11.8
SIZE 6291456, REAL_BD 528.638 GB/s, BD/PAIR 132.159 GB/s, time 0.0048 s, comm_vol 2.517 GB
SIZE 7340032, REAL_BD 555.936 GB/s, BD/PAIR 138.984 GB/s, time 0.0053 s, comm_vol 2.936 GB
SIZE 8388608, REAL_BD 579.668 GB/s, BD/PAIR 144.917 GB/s, time 0.0058 s, comm_vol 3.355 GB
SIZE 10485760, REAL_BD 587.954 GB/s, BD/PAIR 146.989 GB/s, time 0.0071 s, comm_vol 4.194 GB
SIZE 12582912, REAL_BD 623.21 GB/s, BD/PAIR 155.803 GB/s, time 0.0081 s, comm_vol 5.033 GB
SIZE 14680064, REAL_BD 649.655 GB/s, BD/PAIR 162.414 GB/s, time 0.009 s, comm_vol 5.872 GB
SIZE 16777216, REAL_BD 673.337 GB/s, BD/PAIR 168.334 GB/s, time 0.01 s, comm_vol 6.711 GB
SIZE 20971520, REAL_BD 690.187 GB/s, BD/PAIR 172.547 GB/s, time 0.0122 s, comm_vol 8.389 GB
SIZE 25165824, REAL_BD 717.743 GB/s, BD/PAIR 179.436 GB/s, time 0.014 s, comm_vol 10.066 GB
SIZE 29360128, REAL_BD 724.288 GB/s, BD/PAIR 181.072 GB/s, time 0.0162 s, comm_vol 11.744 GB
SIZE 33554432, REAL_BD 743.924 GB/s, BD/PAIR 185.981 GB/s, time 0.018 s, comm_vol 13.422 GB
SIZE 41943040, REAL_BD 761.229 GB/s, BD/PAIR 190.307 GB/s, time 0.022 s, comm_vol 16.777 GB
SIZE 50331648, REAL_BD 770.552 GB/s, BD/PAIR 192.638 GB/s, time 0.0261 s, comm_vol 20.133 GB
SIZE 58720256, REAL_BD 780.469 GB/s, BD/PAIR 195.117 GB/s, time 0.0301 s, comm_vol 23.488 GB
SIZE 67108864, REAL_BD 794.056 GB/s, BD/PAIR 198.514 GB/s, time 0.0338 s, comm_vol 26.844 GB
SIZE 83886080, REAL_BD 809.19 GB/s, BD/PAIR 202.297 GB/s, time 0.0415 s, comm_vol 33.554 GB
SIZE 100663296, REAL_BD 820.483 GB/s, BD/PAIR 205.121 GB/s, time 0.0491 s, comm_vol 40.265 GB
SIZE 117440512, REAL_BD 831.684 GB/s, BD/PAIR 207.921 GB/s, time 0.0565 s, comm_vol 46.976 GB
SIZE 134217728, REAL_BD 834.884 GB/s, BD/PAIR 208.721 GB/s, time 0.0643 s, comm_vol 53.687 GB
SIZE 167772160, REAL_BD 843.899 GB/s, BD/PAIR 210.975 GB/s, time 0.0795 s, comm_vol 67.109 GB
SIZE 201326592, REAL_BD 838.699 GB/s, BD/PAIR 209.675 GB/s, time 0.096 s, comm_vol 80.531 GB
SIZE 234881024, REAL_BD 851.787 GB/s, BD/PAIR 212.947 GB/s, time 0.1103 s, comm_vol 93.952 GB
SIZE 268435456, REAL_BD 860.063 GB/s, BD/PAIR 215.016 GB/s, time 0.1248 s, comm_vol 107.374 GB
SIZE 335544320, REAL_BD 894.803 GB/s, BD/PAIR 223.701 GB/s, time 0.15 s, comm_vol 134.218 GB
SIZE 402653184, REAL_BD 884.222 GB/s, BD/PAIR 221.055 GB/s, time 0.1822 s, comm_vol 161.061 GB
SIZE 469762048, REAL_BD 892.505 GB/s, BD/PAIR 223.126 GB/s, time 0.2105 s, comm_vol 187.905 GB
SIZE 536870912, REAL_BD 887.057 GB/s, BD/PAIR 221.764 GB/s, time 0.2421 s, comm_vol 214.748 GB
SIZE 671088640, REAL_BD 894.239 GB/s, BD/PAIR 223.56 GB/s, time 0.3002 s, comm_vol 268.435 GB
SIZE 805306368, REAL_BD 896.97 GB/s, BD/PAIR 224.242 GB/s, time 0.3591 s, comm_vol 322.123 GB
SIZE 939524096, REAL_BD 892.861 GB/s, BD/PAIR 223.215 GB/s, time 0.4209 s, comm_vol 375.81 GB
SIZE 1073741824, REAL_BD 887.129 GB/s, BD/PAIR 221.782 GB/s, time 0.4841 s, comm_vol 429.497 GB
[[0, 2], [1, 3], [2, 0], [3, 1]]
