make -C csrc
make[1]: Entering directory '/home/yhy/fold/comm_test/csrc'
make[1]: Nothing to be done for 'all'.
make[1]: Leaving directory '/home/yhy/fold/comm_test/csrc'
GPU_NUM: 4
CUDA_VISIBLE_DEVICES: 
srun: error: Required nodelist includes more nodes than permitted by max-node count (2 > 1). Eliminating nodes from the nodelist.
SC1: 2.085540 s, REAL_BD 4.195556 GB/s, SIZE 4.000000 GB, comm_vol 8.750000 GB
SC1: 4.167954 s, REAL_BD 4.198703 GB/s, SIZE 8.000000 GB, comm_vol 17.500000 GB
SC4: 0.003991 s, REAL_BD 0.000523 GB/s, SIZE 0.000001 GB, comm_vol 0.000002 GB
SC4: 0.005430 s, REAL_BD 0.000768 GB/s, SIZE 0.000002 GB, comm_vol 0.000004 GB
SC4: 0.003995 s, REAL_BD 0.002089 GB/s, SIZE 0.000004 GB, comm_vol 0.000008 GB
SC4: 0.004017 s, REAL_BD 0.004155 GB/s, SIZE 0.000008 GB, comm_vol 0.000017 GB
SC4: 0.006361 s, REAL_BD 0.005247 GB/s, SIZE 0.000015 GB, comm_vol 0.000033 GB
SC4: 0.004009 s, REAL_BD 0.016652 GB/s, SIZE 0.000031 GB, comm_vol 0.000067 GB
SC4: 0.005111 s, REAL_BD 0.026123 GB/s, SIZE 0.000061 GB, comm_vol 0.000134 GB
SC4: 0.012326 s, REAL_BD 0.021664 GB/s, SIZE 0.000122 GB, comm_vol 0.000267 GB
SC4: 0.004471 s, REAL_BD 0.119449 GB/s, SIZE 0.000244 GB, comm_vol 0.000534 GB
SC4: 0.012190 s, REAL_BD 0.087622 GB/s, SIZE 0.000488 GB, comm_vol 0.001068 GB
SC4: 0.006064 s, REAL_BD 0.352281 GB/s, SIZE 0.000977 GB, comm_vol 0.002136 GB
SC4: 0.013960 s, REAL_BD 0.306050 GB/s, SIZE 0.001953 GB, comm_vol 0.004272 GB
